Case_ID,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,Soil_Texture,Pollution_Severity,Pollutant_Concentration_mg in kg,"Pollutant Concentration, Text-type"
CASE_100000,8.3,35.6,64.9,62.4,Sandy,Medium,78.04,Medium
CASE_100001,7.96,31,73.1,8.2,Silty,Low,16.33,Low
CASE_100002,5.35,16.4,33.8,121.7,Clay,High,167.33,High
CASE_100003,5.66,31.4,30.5,116.9,Silty,High,89.23,Medium
CASE_100004,7.64,17,58.6,237,Loamy,Medium,93.93,Medium
CASE_100005,5.18,12.3,91.2,386.3,Loamy,High,123.47,High
CASE_100006,4.89,33.9,53,48.8,Loamy,Low,64.4,Medium
CASE_100007,8.14,19.1,69.7,124.7,Sandy,Low,11.71,Low
CASE_100008,5.24,43.9,78.1,375.8,Sandy,Low,111.61,High
CASE_100009,8.19,13.1,34.7,18.1,Sandy,Medium,121.59,High
CASE_100010,5.59,39,46.8,112.4,Silty,Low,80.79,Medium
CASE_100011,7.71,12.6,94,308.9,Clay,High,32.48,Low
CASE_100012,7.76,34.7,74.7,308.5,Clay,Low,6.08,Low
CASE_100013,4.96,40.2,66.7,132.4,Clay,Low,74.9,Medium
CASE_100014,5.8,35.5,67.8,354.9,Sandy,Low,65.64,Medium
CASE_100015,7.35,36.6,62.1,308.4,Loamy,Low,28.32,Low
CASE_100016,6.21,10.9,28.1,12.6,Loamy,Medium,106.93,High
CASE_100017,6.53,41.8,38.7,164.2,Loamy,Medium,66.3,Medium
CASE_100018,4.81,20.1,32.1,371.9,Silty,Medium,49.62,Low
CASE_100019,7.99,38.1,34,357,Loamy,Medium,128.51,High
CASE_100020,8.08,21.1,28.3,91.2,Silty,Low,162.45,High
CASE_100021,7.94,10.2,58.3,167,Silty,Low,164.51,High
CASE_100022,5.85,43,44.2,207.5,Sandy,Medium,28.37,Low
CASE_100023,8.39,43.7,38.9,198.9,Sandy,Low,75.91,Medium
CASE_100024,4.65,31.3,57.7,20.6,Sandy,Medium,60.54,Medium
